projection_1	angle_1	projection_2	angle_2	score
7	310	4	140	130.36137422504794
4	340	8	330	11.831758558015991
8	330	4	340	11.831758558015991
4	220	9	45	33.07210260708842
9	45	4	220	33.07210260708842
4	75	10	285	123.67348851898555
10	285	4	75	123.67348851898555
4	265	11	60	22.512901428990705
11	60	4	265	22.512901428990705
4	70	12	65	69.76249196570564
12	65	4	70	69.76249196570564
4	115	13	265	34.34127427356538
13	265	4	115	34.34127427356538
4	230	14	50	27.46396581414585
14	50	4	230	27.46396581414585
4	165	15	300	31.82779889635465
15	300	4	165	31.82779889635465
4	120	16	5	100.61122654610142
16	5	4	120	100.61122654610142
4	310	17	75	43.90393568405622
17	75	4	310	43.90393568405622
4	140	18	180	22.309409257566738
18	180	4	140	22.309409257566738
4	45	19	75	31.58558208986654
19	75	4	45	31.58558208986654
4	140	20	125	135.35762554485913
20	125	4	140	135.35762554485913
4	140	21	230	119.92395778625364
21	230	4	140	119.92395778625364
4	345	22	115	37.53734311799237
22	115	4	345	37.53734311799237
4	165	23	330	35.3339867635179
23	330	4	165	35.3339867635179
4	350	24	305	48.80702585667784
24	305	4	350	48.80702585667784
4	50	25	230	119.2495653919782
25	230	4	50	119.2495653919782
4	300	26	120	13.643671663794334
26	120	4	300	13.643671663794334
4	320	27	5	18.968533009020913
27	5	4	320	18.968533009020913
4	235	28	270	120.2155056286535
28	270	4	235	120.2155056286535
4	280	29	170	92.67805141110522
29	170	4	280	92.67805141110522
4	5	30	105	47.27586786408303
30	105	4	5	47.27586786408303
4	315	31	80	37.451469005800355
31	80	4	315	37.451469005800355
4	310	32	95	88.37547718713688
32	95	4	310	88.37547718713688
4	320	33	255	112.81707934668522
33	255	4	320	112.81707934668522
4	135	34	260	27.814710439966326
34	260	4	135	27.814710439966326
4	145	35	320	34.96880007644201
35	320	4	145	34.96880007644201
4	345	36	185	14.288709236914993
36	185	4	345	14.288709236914993
4	95	37	340	33.7202808898664
37	340	4	95	33.7202808898664
4	140	38	295	30.988234865384786
38	295	4	140	30.988234865384786
4	250	39	20	109.48058222346476
39	20	4	250	109.48058222346476
4	110	40	35	17.291059691444175
40	35	4	110	17.291059691444175
4	130	41	45	11.298783658764568
41	45	4	130	11.298783658764568
4	315	42	15	90.17596295295212
42	15	4	315	90.17596295295212
4	165	43	200	44.70376184131125
43	200	4	165	44.70376184131125
4	295	44	295	21.989901978855954
44	295	4	295	21.989901978855954
4	320	45	310	91.66928507225114
45	310	4	320	91.66928507225114
4	315	46	270	31.61254641590609
46	270	4	315	31.61254641590609
4	210	47	235	27.49178622796282
47	235	4	210	27.49178622796282
4	245	48	305	70.63435647597993
48	305	4	245	70.63435647597993
